epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2879.96,1.9152,3.04659,1.75257,0.41291,0.39711,0.34806,0.15584,1.77258,2.84502,1.71378,0.000369316,0.000369316,0.000369316
2,5494.01,1.82579,2.33897,1.71981,0.50042,0.41099,0.39629,0.18763,1.75726,2.11799,1.73254,0.000725004,0.000725004,0.000725004
3,8031.45,1.79651,2.07951,1.72191,0.47018,0.47201,0.46353,0.22971,1.67782,1.87178,1.70939,0.00106603,0.00106603,0.00106603
4,10540.5,1.76205,1.93756,1.70743,0.57348,0.48356,0.52909,0.26906,1.70481,1.67347,1.70731,0.00104501,0.00104501,0.00104501
5,13053,1.71518,1.79776,1.67592,0.61821,0.52363,0.56674,0.29362,1.60915,1.70424,1.66484,0.00102301,0.00102301,0.00102301
6,15542.5,1.67611,1.7357,1.65213,0.64195,0.5689,0.62884,0.33654,1.5902,1.48558,1.6757,0.00100101,0.00100101,0.00100101
7,18031.6,1.63953,1.64623,1.62287,0.7131,0.57995,0.66607,0.37068,1.51394,1.34583,1.59624,0.000979013,0.000979013,0.000979013
