epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3738.02,1.51339,1.469,1.53925,0.71271,0.64124,0.71277,0.41093,1.45143,1.24494,1.55068,0.000369316,0.000369316,0.000369316
2,6235.56,1.5281,1.47178,1.55017,0.71379,0.59283,0.68011,0.37799,1.50811,1.28469,1.60278,0.000725004,0.000725004,0.000725004
3,8685.31,1.54902,1.50333,1.5662,0.68875,0.59781,0.66546,0.3794,1.46369,1.33175,1.57806,0.00106603,0.00106603,0.00106603
4,11046.3,1.53714,1.47639,1.56197,0.71687,0.60945,0.68747,0.38587,1.5062,1.25877,1.58133,0.00104501,0.00104501,0.00104501
5,13638.1,1.52127,1.42989,1.54393,0.70108,0.59518,0.66697,0.37034,1.5042,1.28541,1.58198,0.00102301,0.00102301,0.00102301
6,16419.2,1.49974,1.41356,1.53356,0.76501,0.62335,0.71424,0.41714,1.43454,1.1724,1.55252,0.00100101,0.00100101,0.00100101
