epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3051.83,1.73375,1.21826,1.33496,0.83438,0.76618,0.84049,0.37933,1.80661,1.11919,1.43486,0.000369376,0.000369376,0.000369376
2,6080.03,1.74817,1.23875,1.3361,0.80936,0.75001,0.81638,0.36757,1.80794,1.15575,1.44181,0.000635094,0.000635094,0.000635094
3,8722.27,1.7653,1.25622,1.34475,0.78276,0.72,0.78112,0.3363,1.88744,1.21745,1.46593,0.000796059,0.000796059,0.000796059
4,11189.1,1.75122,1.23825,1.34217,0.80193,0.74676,0.80371,0.36664,1.80459,1.16125,1.46582,0.000639619,0.000639619,0.000639619
5,14482.5,1.72557,1.2017,1.32549,0.78932,0.78254,0.81745,0.36673,1.80534,1.11393,1.44325,0.000482491,0.000482491,0.000482491
6,17267.9,1.71089,1.15363,1.31878,0.84659,0.79847,0.85057,0.38245,1.82618,1.05466,1.42518,0.000325364,0.000325364,0.000325364
7,19781.1,1.68379,1.11342,1.29603,0.85073,0.78994,0.8504,0.39291,1.79722,1.0341,1.418,0.000168237,0.000168237,0.000168237
